empresa,bem,quantidade,parlamentar,valor_unit,estado,municipio,beneficiario,entrega_realizada_pelo_fornecedor,pagamento,doacao,status_doacao,entrega_fisica,data_entrega,area,intervencao,quant_doada,item,latitude,longitude,evento_realizado
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Tanque Decantador 400 lts / 560 Kg,8,nao informado,2949.9,PI,Cocal,PREFEITURA MUNICIPAL DE COCAL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-23,Apicultura ,Maquinas e equipamentos,1,9,-3.472792,-41.55462299999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Tanque Decantador 400 lts / 560 Kg,8,nao informado,2949.9,PI,Parnaiba,ASSOCIACAO APICOLA SOLO LITORANEA - APISOL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-23,Apicultura ,Maquinas e equipamentos,2,9,-2.905847,-41.77538799999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Tanque Decantador 400 lts / 560 Kg,8,nao informado,2949.9,PI,Simplicio Mendes,ASSOCIACAO DE PEQUENOS PRODUTORES DA COMUNIDADE BETANIA,Sim,Pago,Sim,Termo de Cessao,Sim,2024-11-27,Apicultura ,Maquinas e equipamentos,2,9,-7.852943999999998,-41.907533,Sim
VENTISOL DA AMAZONIA INDUSTRIA DE APARELHOS ELETRICOS LTDA,Ar Condicionado 12.000 Btu,8,nao informado,1700,PI,Campo Alegre do Fidalgo,ASSOCIACAO QUILOMBOLA DE SANTA MARIA DO CANTO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-21,Apicultura ,Maquinas e equipamentos,1,60,-8.382357,-41.83439899999999,Sim
PEIXOTO  INDUSTRIA E COMERCIO LTDA,Colmeia padrao internacional Langstroth,9299,CASTRO NETO,390,PI,Sao Braz do Piaui,ASSOCIACAO DOS PEQUENOS PRODUTORES DE LEITE DE SAO BRAZ DO PIAUI,Sim,Pago Parcialmente,Sim,Aguardando Doacao,Nao,item nao doado,Apicultura ,Maquinas e equipamentos,80,1,-9.057966999999996,-43.007646,Nao
PEIXOTO  INDUSTRIA E COMERCIO LTDA,Colmeia padrao internacional Langstroth,9299,JULIO CESAR,390,PI,Francisco Santos,PREFEITURA MUNICIPAL DE FRANCISCO SANTOS,Sim,Pago Parcialmente,Sim,Termo de Doacao,Sim,2025-05-28,Apicultura ,Maquinas e equipamentos,250,1,-6.994914,-41.128789,Sim
GLAUCIO & DEODATA AGRONEGOCIOS LTDA,Racao para peixes 45% PB,1150,nao informado,9.1,PI,Teresina,FAZENDA DA PAZ,Sim,Pago,Sim,Termo de Doacao,Sim,2024-02-19,Aquicultura e pesca,Maquinas e equipamentos,30,26,-5.090657,-42.800133,Sim
GLAUCIO & DEODATA AGRONEGOCIOS LTDA,Racao para peixes 40% PB,1150,nao informado,7.86,PI,Teresina,FAZENDA DA PAZ,Sim,Pago,Sim,Termo de Doacao,Sim,2024-02-19,Aquicultura e pesca,Maquinas e equipamentos,40,27,-5.090657,-42.800133,Sim
GLAUCIO & DEODATA AGRONEGOCIOS LTDA,Racao para peixes 35 a 36% PB,1150,nao informado,4.6,PI,Teresina,FAZENDA DA PAZ,Sim,Pago,Sim,Termo de Doacao,Sim,2024-02-19,Aquicultura e pesca,Maquinas e equipamentos,25,28,-5.090657,-42.800133,Sim
GLAUCIO & DEODATA AGRONEGOCIOS LTDA,Racao para peixes 35 a 36% PB,1150,nao informado,4.6,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Sim,Termo de Doacao,Sim,2024-07-26,Aquicultura e pesca,Maquinas e equipamentos,275,28,-4.751458,-42.574586,Sim
WEEMAC MAQUINAS E EQUIPAMENTOS LTDA,Aerador chafariz 1 CV,3,JULIO CESAR,1980.04,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,3,1,-6.782848,-43.55944099999999,Sim
MGS BRASIL DISTRIBUIDORA LTDA,Bolsao de 5 mm de malha ,20,JULIO CESAR,447.75,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,2,9,-6.782848,-43.55944099999999,Sim
MGS BRASIL DISTRIBUIDORA LTDA,Bobina de lona Dupla Face (12x50m) 200 micras,50,JULIO CESAR,1442.75,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,2,6,-6.782848,-43.55944099999999,Sim
THRUONE LTDA,Tanque-rede (2x2),200,JULIO CESAR,2599,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,11,24,-6.782848,-43.55944099999999,Sim
A RODRIGUES COM E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",175,JULIO CESAR,589,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,20,2,-6.782848,-43.55944099999999,Sim
W & L  EMPREENDIMENTOS COMERCIO E LICITACOES LTDA,Macacao em tecido brim Conjugado para Apicultor,500,JUSSARA LIMA,174.09,PI,Caridade do Piaui,PREFEITURA MUNICIPAL DE CARIDADE DO PIAUI,Sim,Pago,Sim,Termo de Cessao,Sim,2025-06-16,Apicultura ,Maquinas e equipamentos,29,11,-7.734349,-40.984763,Nao
CABANA MAGAZINE LTDA,Bota em pvc (par),150,JUSSARA LIMA,32.91,PI,Caridade do Piaui,PREFEITURA MUNICIPAL DE CARIDADE DO PIAUI,Sim,Pago,Sim,Termo de Cessao,Sim,2025-06-16,Apicultura ,Maquinas e equipamentos,29,13,-7.734349,-40.984763,Nao
MGS BRASIL DISTRIBUIDORA LTDA,Luva em Malha Livre Cano Longo (par),150,JUSSARA LIMA,69.99,PI,Caridade do Piaui,PREFEITURA MUNICIPAL DE CARIDADE DO PIAUI,Sim,Pago,Sim,Termo de Cessao,Sim,2025-06-16,Apicultura ,Maquinas e equipamentos,29,14,-7.734349,-40.984763,Nao
C M C DO  BRASIL LTDA,Fumigador Apicola,250,JUSSARA LIMA,169,PI,Caridade do Piaui,PREFEITURA MUNICIPAL DE CARIDADE DO PIAUI,Sim,Pago,Sim,Termo de Cessao,Sim,2025-06-16,Apicultura ,Maquinas e equipamentos,7,10,-7.734349,-40.984763,Nao
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,JUSSARA LIMA,569,PI,Parnagua,PREFEITURA MUNICIPAL DE PARNAGUA,Sim,Pago Parcialmente,Sim,Termo de Cessao,Sim,2025-06-26,Aquicultura e pesca,Maquinas e equipamentos,20,1,-10.216642,-44.63001799999999,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,JUSSARA LIMA,17000,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,1,1,-6.782848,-43.55944099999999,Sim
A RODRIGUES COM E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",175,JUSSARA LIMA,589,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,20,2,-6.782848,-43.55944099999999,Sim
THRUONE LTDA,Tanque-rede (2x2),200,JUSSARA LIMA,2599,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,8,24,-6.782848,-43.55944099999999,Sim
MGS BRASIL DISTRIBUIDORA LTDA,Bolsao de 5 mm de malha ,20,JUSSARA LIMA,447.75,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,2,9,-6.782848,-43.55944099999999,Sim
WEEMAC MAQUINAS E EQUIPAMENTOS LTDA,Aerador chafariz 1 CV,25,JUSSARA LIMA,1980.04,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,1,1,-6.782848,-43.55944099999999,Sim
MGS BRASIL DISTRIBUIDORA LTDA,Bolsao de 5 mm de malha ,20,FLAVIO NOGUEIRA,447.75,PI,Nazaria,PREFEITURA MUNICIPAL DE NAZARIA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-03,Aquicultura e pesca,Maquinas e equipamentos,1,9,-5.3628757,-42.8247028,Sim
MGS BRASIL DISTRIBUIDORA LTDA,Bobina de lona Dupla Face (12x50m) 200 micras,50,FLAVIO NOGUEIRA,1442.75,PI,Nazaria,PREFEITURA MUNICIPAL DE NAZARIA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-03,Aquicultura e pesca,Maquinas e equipamentos,1,6,-5.3628757,-42.8247028,Sim
THRUONE LTDA,Tanque-rede (2x2),200,FLAVIO NOGUEIRA,2599,PI,Nazaria,PREFEITURA MUNICIPAL DE NAZARIA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-03,Aquicultura e pesca,Maquinas e equipamentos,4,24,-5.3628757,-42.8247028,Sim
A RODRIGUES COM E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",175,FLAVIO NOGUEIRA,589,PI,Nazaria,PREFEITURA MUNICIPAL DE NAZARIA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-03,Aquicultura e pesca,Maquinas e equipamentos,46,2,-5.3628757,-42.8247028,Sim
C M C DO  BRASIL LTDA,Fumigador Apicola,250,JUSSARA LIMA,169,PI,Teresina,SECRETARIA DA ASSISTENCIA TECNICA E DEFESA AGROPECUARIA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-23,Apicultura ,Maquinas e equipamentos,7,10,-5.090657,-42.800133,Sim
THRUONE LTDA,Tanque-rede (2x2),200,JUSSARA LIMA,2599,PI,Teresina,SECRETARIA DA ASSISTENCIA TECNICA E DEFESA AGROPECUARIA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-26,Aquicultura e pesca,Maquinas e equipamentos,3,24,-5.090657,-42.800133,Sim
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,JUSSARA LIMA,569,PI,Teresina,SECRETARIA DA ASSISTENCIA TECNICA E DEFESA AGROPECUARIA,Sim,Pago Parcialmente,Sim,Termo de Doacao,Sim,2025-06-26,Aquicultura e pesca,Maquinas e equipamentos,50,1,-5.090657,-42.800133,Sim
MGS BRASIL DISTRIBUIDORA LTDA,Bobina de lona Dupla Face (12x50m) 200 micras,50,JUSSARA LIMA,1442.75,PI,Teresina,SECRETARIA DA ASSISTENCIA TECNICA E DEFESA AGROPECUARIA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-23,Aquicultura e pesca,Maquinas e equipamentos,1,6,-5.090657,-42.800133,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,20,JULIO CESAR,9000,PI,Francisco Santos,PREFEITURA MUNICIPAL DE FRANCISCO SANTOS,Sim,Pago,Sim,Aguardando Doacao,Nao,item nao doado,Apicultura ,Maquinas e equipamentos,1,3,-6.994914,-41.128789,Nao
PEIXOTO  INDUSTRIA E COMERCIO LTDA,Colmeia padrao internacional Langstroth,9299,JUSSARA LIMA,390,PI,Teresina,SECRETARIA DA ASSISTENCIA TECNICA E DEFESA AGROPECUARIA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-08,Apicultura ,Maquinas e equipamentos,250,1,-5.090657,-42.800133,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,20,MARCOS AURELIO,9000,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-01,Apicultura ,Maquinas e equipamentos,1,3,-3.888631,-42.232422,Sim
GERACAO COMERCIO E SERVICOS LTDA,Tanque Decantador 400 lts / 560 Kg,40,MARCOS AURELIO,3675,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-01,Apicultura ,Maquinas e equipamentos,1,7,-3.888631,-42.232422,Sim
BID  SOLUCOES EM COMERCIO E SERVICOS LTDA,Mesa Desoperculadora de Favos 60 Quadros Manual,20,MARCOS AURELIO,3723.75,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-01,Apicultura ,Maquinas e equipamentos,1,5,-3.888631,-42.232422,Sim
BID  SOLUCOES EM COMERCIO E SERVICOS LTDA,Bandeja para receber Melgueira,40,MARCOS AURELIO,259.38,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-01,Apicultura ,Maquinas e equipamentos,1,9,-3.888631,-42.232422,Sim
W & L  EMPREENDIMENTOS COMERCIO E LICITACOES LTDA,Macacao em tecido brim Conjugado para Apicultor,500,MARCOS AURELIO,174.09,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-01,Apicultura ,Maquinas e equipamentos,29,11,-3.888631,-42.232422,Sim
C M C DO  BRASIL LTDA,Fumigador Apicola,250,MARCOS AURELIO,169,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-01,Apicultura ,Maquinas e equipamentos,14,10,-3.888631,-42.232422,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,MARCOS AURELIO,17000,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-01,Aquicultura e pesca,Maquinas e equipamentos,1,1,-3.888631,-42.232422,Sim
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,MARCOS AURELIO,569,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago Parcialmente,Sim,Termo de Doacao,Sim,2025-07-01,Aquicultura e pesca,Maquinas e equipamentos,79,1,-3.888631,-42.232422,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,CIRO NOGUEIRA,17000,PI,Ilha Grande,PREFEITURA MUNICIPAL DE ILHA GRANDE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-10,Aquicultura e pesca,Maquinas e equipamentos,1,1,-2.857737,-41.81858,Sim
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,CIRO NOGUEIRA,569,PI,Ilha Grande,PREFEITURA MUNICIPAL DE ILHA GRANDE,Sim,Pago Parcialmente,Sim,Termo de Doacao,Sim,2025-07-10,Aquicultura e pesca,Maquinas e equipamentos,30,1,-2.857737,-41.81858,Sim
MGS BRASIL DISTRIBUIDORA LTDA,Bobina de lona Dupla Face (12x50m) 200 micras,50,JUSSARA LIMA,1442.75,PI,Guadalupe,PREFEITURA MUNICIPAL DE GUADALUPE,Sim,Pago,Sim,Termo de Doacao,Sim,2025-06-17,Aquicultura e pesca,Maquinas e equipamentos,1,6,-6.782848,-43.55944099999999,Sim
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,ATILA LIRA,569,PI,Ilha Grande,PREFEITURA MUNICIPAL DE ILHA GRANDE,Sim,Pago Parcialmente,Sim,Termo de Doacao,Sim,2025-07-10,Aquicultura e pesca,Maquinas e equipamentos,31,1,-2.857737,-41.81858,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,ATILA LIRA,17000,PI,Jose de Freitas,PREFEITURA MUNICIPAL DE JOSE DE FREITAS,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-02,Aquicultura e pesca,Maquinas e equipamentos,1,1,-4.751458,-42.574586,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,ATILA LIRA,17000,PI,Uniao,PREFEITURA MUNICIPAL DE UNIAO,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-03,Aquicultura e pesca,Maquinas e equipamentos,1,1,-4.585709,-42.858285,Nao
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,ATILA LIRA,569,PI,Uniao,PREFEITURA MUNICIPAL DE UNIAO,Sim,Pago Parcialmente,Sim,Termo de Doacao,Sim,2025-07-03,Aquicultura e pesca,Maquinas e equipamentos,31,1,-4.585709,-42.858285,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,ATILA LIRA,17000,PI,Urucui,PREFEITURA MUNICIPAL DE URUCUI,Sim,Pago,Sim,Termo de Cessao,Sim,2025-07-01,Aquicultura e pesca,Maquinas e equipamentos,1,1,-7.239438999999998,-44.557683,Sim
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,ATILA LIRA,569,PI,Urucui,PREFEITURA MUNICIPAL DE URUCUI,Sim,Pago Parcialmente,Sim,Termo de Cessao,Sim,2025-07-01,Aquicultura e pesca,Maquinas e equipamentos,31,1,-7.239438999999998,-44.557683,Sim
PEIXOTO  INDUSTRIA E COMERCIO LTDA,Colmeia padrao internacional Langstroth,9299,JULIO CESAR,390,PI,Jaicos,PREFEITURA MUNICIPAL DE JAICOS,Sim,Pago,Sim,Termo de Doacao,Sim,2025-08-01,Apicultura ,Maquinas e equipamentos,307,1,-7.362285999999998,-41.137126,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Flores do Piaui,ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE CAMPESTRE,Sim,Pago,Sim,Termo de Doacao,Sim,2023-07-26,Apicultura ,Maquinas e equipamentos,300,1,-7.787931,-42.918009,Sim
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,CASTRO NETO,569,PI,Teresina,UNIAO DOS PESCADORES DO ESTADO DO PIAUI,Sim,Pago Parcialmente,Sim,Termo de Cessao,Sim,2025-07-03,Aquicultura e pesca,Maquinas e equipamentos,16,1,-5.090657,-42.800133,Sim
PEIXOTO  INDUSTRIA E COMERCIO LTDA,Colmeia padrao internacional Langstroth,9299,CIRO NOGUEIRA / JULIO ARCOVERDE,390,PI,Caridade do Piaui,PREFEITURA MUNICIPAL DE CARIDADE DO PIAUI,Sim,Pago,Sim,Aguardando Doacao,Nao,item nao doado,Apicultura ,Maquinas e equipamentos,60,1,-7.734349,-40.984763,Nao
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,CIRO NOGUEIRA,569,PI,Caridade do Piaui,PREFEITURA MUNICIPAL DE CARIDADE DO PIAUI,Sim,Pago Parcialmente,Sim,Termo de Cessao,Sim,2025-07-01,Aquicultura e pesca,Maquinas e equipamentos,11,1,-7.734349,-40.984763,Sim
J.L.R ARAUJO COMERCIO E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",480,CASTRO NETO,569,PI,Teresina,"SINDICATO DOS PESCADORES E PESC.ART.DE TERESINA,PALMEIRAIS NO EST. DO PIAUI E TIMON E PARNARAMA NO EST.DO MARANHAO",Sim,Pago Parcialmente,Sim,Termo de Doacao,Sim,2025-07-03,Aquicultura e pesca,Maquinas e equipamentos,30,1,-5.090657,-42.800133,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Teresina,PIAUI SECRETARIA DE EDUCACAO - SEDUC,Sim,Pago,Sim,Termo de Doacao,Sim,2024-12-02,Apicultura ,Maquinas e equipamentos,450,1,-5.090657,-42.800133,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Teresina,UNIVERSIDADE FEDERAL DO PIAUI - UFPI,Sim,Pago,Sim,Aguardando Doacao,Nao,item nao doado,Apicultura ,Maquinas e equipamentos,250,1,-5.090657,-42.800133,Nao
PEIXOTO  INDUSTRIA E COMERCIO LTDA,Colmeia padrao internacional Langstroth,9299,MARCOS AURELIO,390,PI,Esperantina,PREFEITURA MUNICIPAL DE ESPERANTINA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-01,Apicultura ,Maquinas e equipamentos,300,1,-3.888631,-42.232422,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Floresta do Piaui,PREFEITURA MUNICIPAL DE FLORESTA DO PIAUI,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-12,Apicultura ,Maquinas e equipamentos,100,1,-7.466820999999999,-41.78832799999999,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Massape do Piaui,"ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DAS COMUNIDADES PEREIROS, GAMELEIRA E ESPINHEIRO",Sim,Pago,Sim,Termo de Doacao,Sim,2025-04-01,Apicultura ,Maquinas e equipamentos,400,1,-7.4746869999999985,-41.110322999999994,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Pajeu do Piaui,PREFEITURA MUNICIPAL DE PAJEU DO PIAUI,Sim,Pago,Sim,Termo de Doacao,Sim,2024-07-26,Apicultura ,Maquinas e equipamentos,300,1,-7.855085,-42.82481,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Pedro Laurentino,PREFEITURA MUNICIPAL DE PEDRO LAURENTINO,Sim,Pago,Sim,Termo de Doacao,Sim,2024-07-17,Apicultura ,Maquinas e equipamentos,200,1,-8.068068,-42.284744,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-27,Apicultura ,Maquinas e equipamentos,80,1,-4.751458,-42.574586,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Bela Vista do Piaui,PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-08,Apicultura ,Maquinas e equipamentos,300,1,-7.988091,-41.867521999999994,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Brejo do Piaui,ASSOCIACAO DOS APICULTORES E AGRICULTORES FAMILIARES DE BREJO DO PIAUI,Sim,Pago,Sim,Termo de Doacao,Sim,2024-05-24,Apicultura ,Maquinas e equipamentos,100,1,-8.203139999999998,-42.82291699999999,Sim
PEIXOTO  INDUSTRIA E COMERCIO LTDA,Colmeia padrao internacional Langstroth,9299,CASTRO NETO,390,PI,Sussuapara,PREFEITURA MUNICIPAL DE SUSSUAPARA,Sim,Pago,Sim,Termo de Doacao,Sim,2025-07-09,Apicultura ,Maquinas e equipamentos,140,1,-7.036868,-41.376699,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Campo Alegre do Fidalgo,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO RURAL DE BAIXO,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-18,Apicultura ,Maquinas e equipamentos,100,1,-8.382357,-41.83439899999999,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Campo Alegre do Fidalgo,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE BARRO VERMELHO,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-14,Apicultura ,Maquinas e equipamentos,100,1,-8.382357,-41.83439899999999,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Conceicao do Caninde,ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE BAIXA DO BARRACAO,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-07,Apicultura ,Maquinas e equipamentos,200,1,-7.876378,-41.59419299999999,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Currais,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DOS PRODUTORES RURAIS DE PARA BATINS E REGIAO,Sim,Pago,Sim,Termo de Doacao,Sim,2024-10-31,Apicultura ,Maquinas e equipamentos,100,1,-9.011755,-44.406194,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Dom Inocencio,ASSOCIACAO DE CRIADORES DE CAPRINOS E OVINOS DE DOM INOCENCIO,Sim,Pago,Sim,Termo de Doacao,Sim,2024-04-03,Apicultura ,Maquinas e equipamentos,100,1,-9.005157999999998,-41.96973299999999,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Dom Inocencio,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DOS PEQUENOS PROD RURAIS DA LOC DEN NOVO EXU,Sim,Pago,Sim,Termo de Doacao,Sim,2024-05-16,Apicultura ,Maquinas e equipamentos,100,1,-9.005157999999998,-41.96973299999999,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Dom Inocencio,ASSOCIACAO RURAL DOS IRRIGANTES E PISCULTORES DO POVOADO MOREIRA,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-21,Apicultura ,Maquinas e equipamentos,100,1,-9.005157999999998,-41.96973299999999,Sim
FRANCISCO ALEKSANDRO LIMA PINHEIRO - ME,Colmeia padrao internacional Langstroth,8000,nao informado,370,PI,Flores do Piaui,ASSOCIACAO DOS MICRO PRODUTORES DO ASSENTAMENTO PORCOS,Sim,Pago,Sim,Termo de Doacao,Sim,2024-06-25,Apicultura ,Maquinas e equipamentos,300,1,-7.787931,-42.918009,Sim
